Date,Today_Open,Min_Date,Min_Close,Max_Date,Max_Close
01-Apr-2009,1523.0,24-Oct-2008,1019.5,07-May-2008,2688.95
02-Apr-2009,1610.0,24-Oct-2008,1019.5,07-May-2008,2688.95
06-Apr-2009,1700.0,24-Oct-2008,1019.5,07-May-2008,2688.95
08-Apr-2009,1639.95,24-Oct-2008,1019.5,07-May-2008,2688.95
09-Apr-2009,1750.0,24-Oct-2008,1019.5,07-May-2008,2688.95
13-Apr-2009,1759.95,24-Oct-2008,1019.5,07-May-2008,2688.95
15-Apr-2009,1750.0,24-Oct-2008,1019.5,07-May-2008,2688.95
16-Apr-2009,1811.1,24-Oct-2008,1019.5,07-May-2008,2688.95
17-Apr-2009,1750.1,24-Oct-2008,1019.5,07-May-2008,2688.95
20-Apr-2009,1720.0,24-Oct-2008,1019.5,07-May-2008,2688.95
21-Apr-2009,1695.0,24-Oct-2008,1019.5,07-May-2008,2688.95
22-Apr-2009,1720.0,24-Oct-2008,1019.5,07-May-2008,2688.95
23-Apr-2009,1717.0,24-Oct-2008,1019.5,07-May-2008,2688.95
24-Apr-2009,1750.0,24-Oct-2008,1019.5,07-May-2008,2688.95
27-Apr-2009,1791.0,24-Oct-2008,1019.5,07-May-2008,2688.95
28-Apr-2009,1781.0,24-Oct-2008,1019.5,07-May-2008,2688.95
29-Apr-2009,1751.0,24-Oct-2008,1019.5,07-May-2008,2688.95
04-May-2009,1851.0,24-Oct-2008,1019.5,07-May-2008,2688.95
05-May-2009,1885.0,24-Oct-2008,1019.5,07-May-2008,2688.95
06-May-2009,1889.0,24-Oct-2008,1019.5,07-May-2008,2688.95
07-May-2009,1850.0,24-Oct-2008,1019.5,07-May-2008,2688.95
08-May-2009,1920.0,24-Oct-2008,1019.5,21-May-2008,2667.7
11-May-2009,1919.0,24-Oct-2008,1019.5,21-May-2008,2667.7
12-May-2009,1849.95,24-Oct-2008,1019.5,21-May-2008,2667.7
13-May-2009,1972.25,24-Oct-2008,1019.5,21-May-2008,2667.7
14-May-2009,1902.25,24-Oct-2008,1019.5,21-May-2008,2667.7
15-May-2009,1915.0,24-Oct-2008,1019.5,21-May-2008,2667.7
18-May-2009,2147.0,24-Oct-2008,1019.5,21-May-2008,2667.7
19-May-2009,2450.0,24-Oct-2008,1019.5,21-May-2008,2667.7
20-May-2009,2200.0,24-Oct-2008,1019.5,21-May-2008,2667.7
21-May-2009,2145.0,24-Oct-2008,1019.5,21-May-2008,2667.7
22-May-2009,2099.8,24-Oct-2008,1019.5,22-May-2008,2626.05
25-May-2009,2200.0,24-Oct-2008,1019.5,28-May-2008,2522.5
26-May-2009,2180.1,24-Oct-2008,1019.5,28-May-2008,2522.5
27-May-2009,2172.0,24-Oct-2008,1019.5,28-May-2008,2522.5
28-May-2009,2180.0,24-Oct-2008,1019.5,28-May-2008,2522.5
29-May-2009,2244.8,24-Oct-2008,1019.5,29-May-2008,2462.7
01-Jun-2009,2330.0,24-Oct-2008,1019.5,03-Jun-2008,2406.65
02-Jun-2009,2300.1,24-Oct-2008,1019.5,03-Jun-2008,2406.65
03-Jun-2009,2261.3,24-Oct-2008,1019.5,03-Jun-2008,2406.65
04-Jun-2009,2224.8,24-Oct-2008,1019.5,18-May-2009,2367.55
05-Jun-2009,2275.0,24-Oct-2008,1019.5,18-May-2009,2367.55
08-Jun-2009,2207.0,24-Oct-2008,1019.5,18-May-2009,2367.55
09-Jun-2009,2188.0,24-Oct-2008,1019.5,18-May-2009,2367.55
10-Jun-2009,2291.0,24-Oct-2008,1019.5,18-May-2009,2367.55
11-Jun-2009,2320.0,24-Oct-2008,1019.5,18-May-2009,2367.55
12-Jun-2009,2310.0,24-Oct-2008,1019.5,18-May-2009,2367.55
15-Jun-2009,2359.7,24-Oct-2008,1019.5,18-May-2009,2367.55
16-Jun-2009,2150.0,24-Oct-2008,1019.5,18-May-2009,2367.55
17-Jun-2009,2125.8,24-Oct-2008,1019.5,18-May-2009,2367.55
18-Jun-2009,2058.0,24-Oct-2008,1019.5,18-May-2009,2367.55
19-Jun-2009,2045.0,24-Oct-2008,1019.5,18-May-2009,2367.55
22-Jun-2009,2047.7,24-Oct-2008,1019.5,18-May-2009,2367.55
23-Jun-2009,1900.0,24-Oct-2008,1019.5,18-May-2009,2367.55
24-Jun-2009,2025.0,24-Oct-2008,1019.5,18-May-2009,2367.55
25-Jun-2009,2001.2,24-Oct-2008,1019.5,18-May-2009,2367.55
26-Jun-2009,1966.15,24-Oct-2008,1019.5,18-May-2009,2367.55
29-Jun-2009,2026.0,24-Oct-2008,1019.5,18-May-2009,2367.55
30-Jun-2009,2100.0,24-Oct-2008,1019.5,18-May-2009,2367.55
01-Jul-2009,2029.9,24-Oct-2008,1019.5,18-May-2009,2367.55
02-Jul-2009,2183.0,24-Oct-2008,1019.5,18-May-2009,2367.55
03-Jul-2009,2000.0,24-Oct-2008,1019.5,18-May-2009,2367.55
06-Jul-2009,2048.0,24-Oct-2008,1019.5,18-May-2009,2367.55
07-Jul-2009,1901.0,24-Oct-2008,1019.5,18-May-2009,2367.55
08-Jul-2009,1855.45,24-Oct-2008,1019.5,18-May-2009,2367.55
09-Jul-2009,1835.0,24-Oct-2008,1019.5,18-May-2009,2367.55
10-Jul-2009,1853.0,24-Oct-2008,1019.5,18-May-2009,2367.55
13-Jul-2009,1749.7,24-Oct-2008,1019.5,18-May-2009,2367.55
14-Jul-2009,1774.0,24-Oct-2008,1019.5,18-May-2009,2367.55
15-Jul-2009,1850.0,24-Oct-2008,1019.5,18-May-2009,2367.55
16-Jul-2009,1901.0,24-Oct-2008,1019.5,18-May-2009,2367.55
17-Jul-2009,1945.1,24-Oct-2008,1019.5,18-May-2009,2367.55
20-Jul-2009,1960.0,24-Oct-2008,1019.5,18-May-2009,2367.55
21-Jul-2009,2088.7,24-Oct-2008,1019.5,18-May-2009,2367.55
22-Jul-2009,2025.0,24-Oct-2008,1019.5,18-May-2009,2367.55
23-Jul-2009,1990.0,24-Oct-2008,1019.5,18-May-2009,2367.55
24-Jul-2009,2050.0,24-Oct-2008,1019.5,18-May-2009,2367.55
27-Jul-2009,1950.0,24-Oct-2008,1019.5,18-May-2009,2367.55
28-Jul-2009,1947.0,24-Oct-2008,1019.5,18-May-2009,2367.55
29-Jul-2009,1900.0,24-Oct-2008,1019.5,18-May-2009,2367.55
30-Jul-2009,1920.0,24-Oct-2008,1019.5,18-May-2009,2367.55
31-Jul-2009,1915.0,24-Oct-2008,1019.5,18-May-2009,2367.55
03-Aug-2009,1968.9,24-Oct-2008,1019.5,18-May-2009,2367.55
04-Aug-2009,2033.0,24-Oct-2008,1019.5,18-May-2009,2367.55
05-Aug-2009,2035.0,24-Oct-2008,1019.5,18-May-2009,2367.55
06-Aug-2009,2043.65,24-Oct-2008,1019.5,18-May-2009,2367.55
07-Aug-2009,2036.5,24-Oct-2008,1019.5,18-May-2009,2367.55
10-Aug-2009,2030.45,24-Oct-2008,1019.5,18-May-2009,2367.55
11-Aug-2009,1993.0,24-Oct-2008,1019.5,18-May-2009,2367.55
12-Aug-2009,1974.95,24-Oct-2008,1019.5,18-May-2009,2367.55
